rank,title_id,title,players,percentage
1,228748,Fortnite,78172,25.6884
2,223118,Roblox,51635,16.968
3,10001130,Call of Duty®,43156,14.1817
4,10011898,EA SPORTS FC™ 26,42980,14.1238
5,201930,Grand Theft Auto V,34266,11.2603
6,203715,Rocket League®,27272,8.962
7,212779,Minecraft,19810,6.5099
8,10014149,NBA 2K26,12562,4.1281
9,203897,Tom Clancy's Rainbow Six Siege,11980,3.9368
10,10017658,Call of Duty®: Black Ops II,10500,3.4505
11,10010451,Marvel Rivals,9032,2.968
12,10002456,Marvel's Spider-Man 2,8850,2.9082
13,10018502,NBA 2K27,7720,2.5369
14,232352,Apex Legends™,6895,2.2658
15,209441,Red Dead Redemption 2,5829,1.9155
16,10009568,Battlefield™ 6,5660,1.86
17,10002427,eFootball™,5090,1.6726
18,216627,Overwatch®,5059,1.6625
19,10000657,HELLDIVERS™ 2,4784,1.5721
20,10010048,VALORANT,4562,1.4991
21,10012604,EA SPORTS™ Madden NFL 26,4184,1.3749
22,10009762,EA SPORTS FC™ 25,4106,1.3493
23,10016736,EA SPORTS™ Madden NFL 27,4106,1.3493
24,10011645,Call of Duty®: Modern Warfare® III,3994,1.3125
25,10016592,EA SPORTS™ College Football 27,3949,1.2977
26,10006353,skate.™,3911,1.2852
27,10002788,UFC® 5,3643,1.1971
28,10000762,Marvel's Spider-Man,3605,1.1847
29,227319,Dead by Daylight,3431,1.1275
30,10015762,Once Human,3391,1.1143
31,10002313,The Crew Motorfest,3342,1.0982
32,10003354,Fall Guys,3299,1.0841
33,10015430,MLB® The Show™ 26,3269,1.0742
34,10000229,ASTRO's PLAYROOM,3208,1.0542
35,10017657,Call of Duty®: Black Ops,2990,0.9826
36,10000956,Gran Turismo® 7,2899,0.9527
37,216932,Brawlhalla,2885,0.9481
38,200763,Call of Duty®: Black Ops III,2677,0.8797
39,10010647,Forza Horizon 5,2553,0.839
40,10017189,Big Walk,2507,0.8238
41,232374,Dying Light 2,2461,0.8087
42,10011247,UFC® 6,2259,0.7423
43,10004911,Mortal Kombat 1,2203,0.7239
44,10000333,ELDEN RING,2146,0.7052
45,10007176,EA SPORTS FC™ 24,2063,0.6779
46,10003610,ARC Raiders,2038,0.6697
47,10000649,Marvel's Spider-Man: Miles Morales,1928,0.6336
48,10012463,EA SPORTS™ College Football 26,1913,0.6286
49,234567,Cyberpunk 2077,1855,0.6096
50,10011027,Palworld,1819,0.5977
51,216234,Gang Beasts,1711,0.5623
52,10013987,Assassin's Creed Black Flag Resynced,1710,0.5619
53,10013165,Call of Duty®: Black Ops 6,1651,0.5425
54,10001850,God of War Ragnarök,1634,0.537
55,10007902,DRAGON BALL: Sparking! ZERO,1448,0.4758
56,10009612,Farming Simulator 25,1398,0.4594
57,230079,The Last of Us™ Part II,1350,0.4436
58,10010481,NBA 2K25,1321,0.4341
59,10007588,Stumble Guys,1295,0.4256
60,10000896,Genshin Impact,1292,0.4246
61,10002363,Crimson Desert,1245,0.4091
62,235227,Ghost of Tsushima,1234,0.4055
63,10015300,WWE 2K26,1219,0.4006
64,10009213,Ready or Not,1218,0.4003
65,10009297,Undisputed,1206,0.3963
66,221852,Destiny 2,1167,0.3835
67,10002811,Among Us,1157,0.3802
68,221694,For Honor,1148,0.3772
69,231756,Mortal Kombat 11,1138,0.374
70,233072,Rust Console Edition,1138,0.374
71,10003923,Ghost of Yōtei,1129,0.371
72,201697,Tom Clancy's Ghost Recon® Wildlands,1114,0.3661
73,10004896,Wobbly Life,1103,0.3625
74,10006270,TEKKEN 8,1095,0.3598
75,10010058,Mortal Shell II,1084,0.3562
76,205342,Warframe,1076,0.3536
77,10004336,EA SPORTS™ FIFA 23,1018,0.3345
78,205366,War Thunder,999,0.3283
79,10008019,MARVEL Tōkon: Fighting Souls,995,0.327
80,10006210,Kingdom Come: Deliverance II,993,0.3263
81,234659,Need for Speed™ Heat,986,0.324
82,10010992,Escape the Backrooms,980,0.322
83,232447,Hogwarts Legacy,959,0.3151
84,221850,DayZ,954,0.3135
85,10011830,F1® 25,941,0.3092
86,10002684,ASTRO BOT,940,0.3089
87,10012851,NHL® 26,935,0.3073
88,10006560,007 First Light,925,0.304
89,10008740,Asphalt Legends,917,0.3013
90,10003151,EA SPORTS™ College Football 25,913,0.3
91,10008716,Sniper Elite: Resistance,912,0.2997
92,233030,EA SPORTS™ UFC® 4,910,0.299
93,234689,It Takes Two  PS4™ & PS5™,908,0.2984
94,10005673,Phasmophobia,907,0.2981
95,10008972,PGA TOUR 2K25,898,0.2951
96,10006873,THE FINALS,891,0.2928
97,10008286,ARK: Survival Ascended,877,0.2882
98,10019078,No More Room in Hell 2,845,0.2777
99,10009763,Zenless Zone Zero,844,0.2774
100,10004473,Resident Evil 4,843,0.277
101,228857,The Sims™ 4,839,0.2757
102,235179,Avatar: Frontiers of Pandora™,836,0.2747
103,10012874,NTE: Neverness to Everness,831,0.2731
104,10007144,Black Myth: Wukong,814,0.2675
105,10010971,Call of Duty®: Modern Warfare® II,814,0.2675
106,232860,PUBG: BATTLEGROUNDS,804,0.2642
107,10005051,Hell is Us,803,0.2639
108,230955,The Elder Scrolls V: Skyrim Special Edition,791,0.2599
109,233407,Call of Duty®: Black Ops Cold War,782,0.257
110,204794,ウィッチャー３　ワイルドハント,760,0.2497
111,10014425,Hell Let Loose: Vietnam,756,0.2484
112,229601,Assassin's Creed® Odyssey,744,0.2445
113,10002694,The Last of Us™ Part I,744,0.2445
114,205354,UNCHARTED: Legacy of Thieves Collection,732,0.2405
115,10000459,Riders Republic™,707,0.2323
116,202943,Mortal Kombat X,706,0.232
117,10007460,Baldur's Gate 3,701,0.2304
118,227770,God of War,692,0.2274
119,10016651,Grounded 2,688,0.2261
120,10015533,Resident Evil Requiem,685,0.2251
121,10010877,ELDEN RING NIGHTREIGN,683,0.2244
122,10003386,Rise of the Ronin™,676,0.2221
123,233112,Tom Clancy’s Ghost Recon® Breakpoint,653,0.2146
124,229182,Call of Duty®: Modern Warfare®,641,0.2106
125,10003330,"Warhammer 40,000: Space Marine 2",638,0.2097
126,227552,ザ クルー2,638,0.2097
127,10013248,Onimusha: Way of the Sword,636,0.209
128,232391,Tom Clancy's The Division® 2,636,0.209
129,231769,Metro Exodus,625,0.2054
130,10011349,REMATCH,619,0.2034
131,10000248,HITMAN World of Assassination,612,0.2011
132,201511,Fallout 4,609,0.2001
133,10002538,FIFA 22,608,0.1998
134,232300,Call of Duty®: Black Ops 4,603,0.1982
135,10010764,Wuthering Waves,601,0.1975
136,228868,theHunter: Call of the Wild™,595,0.1955
137,10008537,LEGO® Batman™: Legacy of the Dark Knight,591,0.1942
138,10000237,Assassin's Creed Valhalla,587,0.1929
139,10002357,MY HERO ULTRA RUMBLE,586,0.1926
140,10010458,Vampire Survivors,585,0.1922
141,10001369,Cuphead,583,0.1916
142,10014058,Delta Force,580,0.1906
143,10013884,Halo: Campaign Evolved,579,0.1903
144,10014720,The Seven Deadly Sins: Origin,574,0.1886
145,229438,STAR WARS™ Battlefront™ II,568,0.1867
146,10011213,MLB® The Show™ 25,566,0.186
147,10005176,Monster Hunter Wilds,545,0.1791
148,10001269,Need for Speed™ Unbound,544,0.1788
149,10008048,Grounded PS4® & PS5®,543,0.1784
150,10009326,EA SPORTS™ Madden NFL 25,538,0.1768
151,229018,DAYS GONE,535,0.1758
152,10008755,SONIC X SHADOW GENERATIONS,527,0.1732
153,200472,BATMAN™: ARKHAM KNIGHT,523,0.1719
154,10010198,Arma Reforger,522,0.1715
155,201129,Dying Light,522,0.1715
156,228720,Fishing Planet,520,0.1709
157,10009075,METAL GEAR SOLID: MASTER COLLECTION Vol.2,511,0.1679
158,231761,Diablo® IV,510,0.1676
159,10001988,The Outlast Trials,502,0.165
160,10009909,Assassin’s Creed Shadows,495,0.1627
161,10000177,Sackboy: A Big Adventure,491,0.1613
162,10009029,STAR WARS Zero Company™,484,0.159
163,217012,DRAGON BALL XENOVERSE 2,479,0.1574
164,10005275,Honkai: Star Rail,478,0.1571
165,216759,WATCH_DOGS® 2,472,0.1551
166,10001615,Street Fighter 6,469,0.1541
167,235302,Mafia: Definitive Edition,449,0.1475
168,221727,Horizon Zero Dawn™,446,0.1466
169,10002100,FINAL FANTASY XVI,445,0.1462
170,10005318,The First Descendant,445,0.1462
171,227115,Call of Duty®: WWII,440,0.1446
172,10000161,CarX Drift Racing Online,436,0.1433
173,200520,Bloodborne™,432,0.142
174,212870,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,432,0.142
175,10007638,DRAGONBALL GEKISHIN SQUADRA,420,0.138
176,10003552,Grand Theft Auto: San Andreas – The Definitive Edition,415,0.1364
177,235235,Resident Evil Village,413,0.1357
178,10008651,MLB® The Show™ 24,412,0.1354
179,10000819,Borderlands 4,409,0.1344
180,227139,Human Fall Flat,408,0.1341
181,228638,The Last of Us™ Remastered,408,0.1341
182,227649,Crash Bandicoot N. Sane Trilogy,405,0.1331
183,231416,The Forest,404,0.1328
184,10010684,WWE 2K25,402,0.1321
185,10000928,MX vs ATV Legends,400,0.1314
186,10000899,Overcooked! All You Can Eat,399,0.1311
187,233961,FAR CRY®6,397,0.1305
188,10003123,Goat Simulator 3,393,0.1291
189,232654,Hollow Knight,393,0.1291
190,217611,3on3 Freestyle,389,0.1278
191,10004744,NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,387,0.1272
192,227447,NARUTO TO BORUTO: SHINOBI STRIKER,385,0.1265
193,221692,Far Cry® 5,368,0.1209
194,10005529,SILENT HILL 2,368,0.1209
