rank,title_id,title,players,percentage
1,228748,Fortnite,64725,23.9616
2,223118,Roblox,51991,19.2474
3,10011898,EA SPORTS FC™ 26,41266,15.2769
4,201930,Grand Theft Auto V,40083,14.839
5,10017658,Call of Duty®: Black Ops II,29822,11.0403
6,203715,Rocket League®,26293,9.7338
7,10001130,Call of Duty®,25280,9.3588
8,212779,Minecraft,18443,6.8277
9,10014149,NBA 2K26,17690,6.5489
10,203897,Tom Clancy's Rainbow Six Siege,10285,3.8076
11,10010451,Marvel Rivals,9620,3.5614
12,10017657,Call of Duty®: Black Ops,8616,3.1897
13,10011645,Call of Duty®: Modern Warfare® III,8463,3.1331
14,232352,Apex Legends™,6915,2.56
15,10002427,eFootball™,5131,1.8995
16,10012604,EA SPORTS™ Madden NFL 26,5115,1.8936
17,216627,Overwatch®,4922,1.8222
18,209441,Red Dead Redemption 2,4790,1.7733
19,10016592,EA SPORTS™ College Football 27,4669,1.7285
20,10013987,Assassin's Creed Black Flag Resynced,4233,1.5671
21,10009568,Battlefield™ 6,4172,1.5445
22,10009762,EA SPORTS FC™ 25,4138,1.5319
23,227319,Dead by Daylight,4054,1.5008
24,10010048,VALORANT,3887,1.439
25,10002788,UFC® 5,3795,1.4049
26,10002456,Marvel's Spider-Man 2,3703,1.3709
27,10015430,MLB® The Show™ 26,3512,1.3002
28,10006353,skate.™,3403,1.2598
29,10003354,Fall Guys,3071,1.1369
30,10002313,The Crew Motorfest,2974,1.101
31,200763,Call of Duty®: Black Ops III,2904,1.0751
32,216932,Brawlhalla,2879,1.0658
33,10000229,ASTRO's PLAYROOM,2773,1.0266
34,10011247,UFC® 6,2626,0.9722
35,10011027,Palworld,2597,0.9614
36,10012463,EA SPORTS™ College Football 26,2440,0.9033
37,10010647,Forza Horizon 5,2376,0.8796
38,10000956,Gran Turismo® 7,2359,0.8733
39,10003610,ARC Raiders,2187,0.8096
40,10007176,EA SPORTS FC™ 24,2165,0.8015
41,10004911,Mortal Kombat 1,2063,0.7637
